R2,67.54,9.27,0.00,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB,155.31,45.80,180.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2-USB1,155.32,47.03,0.00,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_BAT,121.67,25.71,90.00,2k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH,158.31,8.28,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R2_PINH1,83.52,68.30,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R3,70.14,7.49,90.00,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402
R4,71.42,12.77,0.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R5,31.49,45.12,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R6,32.61,30.62,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R7,29.78,30.57,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R8,26.95,30.52,90.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R9,72.72,27.27,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
RESET_BUTTON,49.00,108.55,180.00,BUTTON_CUSYOMV1,MYBUTTON
R_BOOT,19.97,107.98,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CAPACITOR,88.79,55.55,270.00,15,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CHANGE,60.86,108.50,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_CL1,73.89,27.24,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
R_RESET,45.90,108.55,270.00,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402
SENSOR2,156.81,13.17,0.00,ESP32_WROVER_BME680_BME680,ESP32_WROVER_BME680_PSON80P300X300X100-8N
SJ1,67.53,7.50,0.00,,SJ
TP1,11.28,70.15,0.00,TPTP20R,TP20R
TP10,67.54,31.42,0.00,TPTP20R,TP20R
TP11,96.31,7.15,0.00,TPTP20R,TP20R
TP12,96.29,4.92,0.00,TPTP20R,TP20R
TP13,67.54,33.72,0.00,TPTP20R,TP20R
TP14,146.54,42.37,0.00,TPTP20R,TP20R
TP15,89.19,86.52,0.00,TPTP20R,TP20R
TP16,131.06,62.65,0.00,TPTP20R,TP20R
TP17,64.71,31.40,0.00,TPTP20R,TP20R
TP2,13.50,70.05,0.00,TPTP20R,TP20R
TP3,121.93,38.20,0.00,TPTP20R,TP20R
TP4,88.94,81.75,0.00,TPTP20R,TP20R
TP5,131.86,60.00,0.00,TPTP20R,TP20R
TP6,2.78,75.17,0.00,TPTP20R,TP20R
TP7,5.05,75.15,0.00,TPTP20R,TP20R
TP8,32.62,27.60,0.00,TPTP20R,TP20R
TP9,96.30,2.54,0.00,TPTP20R,TP20R
U1,36.09,55.61,0.00,W25Q512JVEIQ,SON127P600X800X80-9N
U2,15.92,55.45,90.00,ESP32-C6-WROOM-1-N8,XCVR_ESP32-C6-WROOM-1-N8
U3,81.02,59.51,270.00,DS3231SN#,SOIC127P1032X265-16N
U4,132.74,30.38,0.00,MAX17048G+T10,SON50P200X200X80-9N
